system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/dressup/p/255132044,2024-03-31 08:42:12,#分享 69kg的紅色洋裝 #穿出我的日系風格,"好 其實我不知道這算不算日系
我只是想說有徵文比賽 那就順便加進標題 不加白不加

今天是復活節 可以穿鮮豔一點


應該沒看過有人穿搭照 戴安全帽吧😏
就讓我來開啟這個先例

我連安全帽都有配色的好嗎
拍之前還叫同伴把白色安全帽換給我

洋裝是mercci22 多年前買的 
不過買來穿不下 屁股卡住 就一直放著
最近在教練淫威之下 75kg->69kg
https://www.dcard.tw/f/fitness/p/255068811
可以順便看一下我的飲控方式 不要亂節食

某天突然看到這件洋裝 就拿來穿穿看

可以穿了欸！！！



每篇穿搭都用一樣的包包
白色米色就是很好搭配


今天下雨還是可以穿小白鞋
因為這雙是皮的 防水 
但keds缺點就是不能久走 


其實屁股那邊還是有點緊 
不過應該只有我自己看的出來

這件彎腰會曝光所以裡面多穿一件
裡面那件是weartoeat
這家很多梨形友善的褲子
我喜歡這家到我甚至發了這樣的訊息


我還發私訊給tiff 寫了一長串
但她沒回也沒讀 應該是真的很忙 她本來就沒有義務回我訊息 沒事 我沒受傷🤣
但這家最近的上衣比較沒有我喜歡的款式而且大家要買之前記得自己比價一下看一下留言


另外 我目前每一篇穿搭用的都是不同的攝影師
不同的裝置：android,iphone,相機
甚至有一篇是第一次見面的人 我請她幫拍她嚇死她說她從沒幫人拍過照
因為我就想如果可以順便拍我就拍 10分鐘隨便拍一拍就好了

這邊提供大家一些快速訓練攝影師的方式
1.叫他手機放在胸前 上下轉動看哪個角度腿最長
2.叫他錄影，然後你自己從影片截圖


飾品我就自己拍吧
因為今天的攝影師很不堪用

戒指是玻璃的 國外買的



手環就隨便選白色跟銀色
我手環不多也只能這樣


耳環 想不起來 應該也是蝦皮亂買
而且我從來沒戴過 今天第一次戴




我以前真沒想過要拍穿搭文欸 
因為我基本沒什麼在搭 毫無層次
想想我買那麼多衣服
不拍給大家一起欣賞好像也是蠻浪費的",dressup,1,eland0014,F,Eland
2,Dcard,https://www.dcard.tw/f/dressup/p/255117116,2024-03-29 13:43:35,帽t外套配圖案T風格穿搭,"為了明天的毛利小五郎外拍出角我稍微剪了髮型(然後下禮拜要去剪五條新菜頭)

然後最近總算瘦到95公斤了(跟音柱和大谷翔平等重)

還有我打算將身高拉抬到182.0(目前181.0)

cosplay方面的名單目前已經有1136個角色(有包含坑單)

單品
外套;高一時在光華商場附近的市集買的
圖案t：我媽在新竹大潤發買給我的
牛仔褲(上次那件):新竹東門城附近成衣商場所賣的
跑鞋（上次那雙）：我哥以前在我生日時買給我的

",dressup,3,be1074146,M,KS
3,Dcard,https://www.dcard.tw/f/dressup/p/255131912,2024-03-31 08:24:47,#分享 170最近喜歡的白洋裝💭,"大家好 我又來了
最近天氣真的忽冷忽熱
但還好我出門的時候都是好天氣
今天來分享我最近穿的白洋裝
（之前幾篇有介紹幾套
我衣櫃的白洋裝真的超級多
不嫌棄的話就繼續看下去吧

身高體重170／55

*因為是洋裝所以可能沒有穿搭可言 只有穿
請大家見諒🙇🏻‍♀️

♡第一套




全身的樣子
洋裝背後有整片鬆緊
所以我覺得身形沒有什麼限制
缺點是有點長（我170也快拖地

洋裝細節（搭配細項鍊很適合

這是背面的樣子 一整片都是鬆緊



也可以搭配西外來穿
我特別選這件綠色西外
我覺得搭起來很古典（？

♡第二套






這件是愛心領拼接紗的洋裝
我沒腰也看起來有腰身
這件缺點是拼接的地方有點刺膚
敏感肌可能要斟酌

♡第三套




這件是有點透膚蕾絲的洋裝
手臂是微澎袖 很可愛
腰圍是自己綁的
沒有拍整身是因為整身腰線不太明顯就不放了

♡第四套




這件是全身重工蕾絲的洋裝
我非常非常喜歡這件
穿了好幾次
有點微澎袖
冷的時候可以搭針織外套（我搭米黃色的
也可以搭長袖內搭在裡面💭

♡第五套




這件是方領 然後圍一圈珍珠的洋裝
也有澎袖
我覺得穿起來一樣有點優雅（？
但裙長有點短🥲

🌸題外話我發現我穿這類型的洋裝都搭配同一雙鞋子


家裡的沙發（家人允許讓我放鞋子拍照

我基本都搭這雙蝴蝶結鞋 
下意識覺得優雅的洋裝就要配這種鞋
雖然真的不好走😇

以上就是五套我最近喜歡的白洋裝穿著
我發現我選的洋裝幾乎也差不多就那些元素
珍珠蕾絲澎袖xddd有蝴蝶結更好！

如果喜歡我的風格可以追蹤我！
我最近買的衣服超多
看來要出門好幾次拍穿著哈哈哈哈

就這樣啦 拜拜！
謝謝看到這裡的大家(๑•̀ᄇ•́)و ✧",dressup,1,annann170,F,喜歡買衣服的170安🌸
4,Dcard,https://www.dcard.tw/f/dressup/p/255112293,2024-03-29 04:58:06,#分享 155小個子の有效穿搭🌸#穿出我的日系風格,"說到日系風格～
日本女生時不時給人一種精緻感
在穿搭上除了疊穿，也追求衣服的設計細節
只要掌握幾點挑衣秘訣✔️
馬上讓穿搭變得不無聊！
同時擁有日系的氣質溫柔
以下來看看吧😀

我的身高體重：155/42

1.鬆中有合
公主泡泡袖+背部綁帶背心+開衩魚尾裙
再搭配蕾絲尖頭鞋和手提包

不僅僅是點點上衣
在袖子上做了小浮誇公主泡泡袖
讓嬌小的小個子不過於單薄^3^)୨
然後魚尾裙的開衩，優雅中帶點小心機

還有日系很常見的背部綁帶設計↓
點點上衣前面紮後面小隨性(依自己習慣😆)
(日本女生我想會全紮或全放出來，不會要紮不紮)
鞋子雖然是素色看不太出來
但少不了的細節整雙蕾絲！


2.很短+很長
短罩衫與連身長裙組合
再搭配厚底鞋和手提包

常常看到日牌有出短罩衫、短外套
正適合小個子胸下都是腿呀😂
瞬間比例變更好ෆ

罩衫的綁帶讓穿搭更有意思了
雖然黑白配色，但多了份溫柔感
針織也適合春天穿❣


3.荷葉波浪在線
荷葉針織上衣+格紋A字裙
再搭配短靴和波士頓包

整套都是分享過的單品
發現加在一起也可以！
上衣過年時搭格紋短裙
長裙上次發灰色，這次是咖色
至於靴子和包包很常拿來搭配´͈ ᵕ `͈

必備之一的荷葉和波浪原素✨
荷葉褶邊設計上衣～
加上剪裁特別的格紋裙，拼接的一側有點像魚尾
馬上讓穿衣變穿搭🙌🏻


4.透膚mix牛仔
透膚印花撞色上衣+牛仔魚尾洋裝
再搭配糖果襪、小白鞋和手提包

看似率性不像我平常的風格
合身魚尾洋裝卻保留了溫柔
不對稱魚尾設計讓視覺延伸
小個子也駕馭的了不顯沉！

透膚裡藏了小巧思
低調花紋若隱若現
滾邊多了份存在感但不搶戲
手提包讓整體也多了優雅感


5.波浪再現！自搭領片
波浪A字洋裝+布蕾絲領片
再搭配平底鞋和手提包

洋裝雖然已經有波浪原素⸝*
但總覺得好像可以再加點什麼
找到之前買日牌外套附的領片
戴上去試試看就變成這樣啦ᵒ̴̶̷̤ꈊᵒ̴̶̷̤

多利用原有的手邊配件
能隨時看心情變化風格♡
⟣有領片：日系風
⟣無領片：小香風
沒想到格紋可以秒變風格呀

謝謝你們看完♥
你心中的日系風格又是什麼呢？
https://sticker-assets.dcard.tw/images/b525bfd7-e941-460b-bf1e-e7b73ae0d837/full.png
不負責任編輯：Moni",dressup,37,moni065,F,𝑮𝒐𝒐𝒅𝑴𝒐𝒏𝒊
5,Dcard,https://www.dcard.tw/f/dressup/p/255125755,2024-03-30 13:37:43,#分享 #163女孩多套約會穿搭💗#穿出我的日系風格,"嗨我是鼠鼠🐹
身高163/體重45
這次挑了七套分享給各位
有關衣服的資訊也很歡迎大家詢問🫶🏻
🏷️Look1
微性感一字領+黑白格紋短裙
小性感黑色一字領又搭上偏可愛系的格紋短裙
性感可愛一起兼顧😉
最重要的是GRL家的裙子都是有做安全褲的，再短也不怕走光😎
上衣：GRL
短裙：GRL

🏷️Look2
黑色連身洋裝+半透網紗罩衫
這套是兩樣單品我自己搭的
意外的適合
洋裝是裙身裙很顯身形曲線
前方還有開衩可以顯腿長
尤其是這種半透的罩衫最深得我心了微微透出的感覺真的非常仙😇
全套：GRL


🏷️Look3
來了來了
每次穿都被誇好看的一套
米色連身洋裝
材質是比較貼身的
所以也很顯身材曲線
有種成熟大姊姊的感覺真的好喜歡😍
罩衫我自己會搭左邊這種半透的襯衫或是右邊半透的蕾絲罩衫，隨便搭都好看
重點是洋裝胸前是有襯墊的！！不用再穿內衣或小可愛
一件就可以出門我真的愛慘😭
全套：GRL


🏷️Look4
淺色系女子🤍
西裝褲+無袖西裝外套+半透內搭
微正式又俐落的一套
全套：GRL

🏷️Look5
奶白色穿搭再次登場
內搭是做有萌袖的大拇指可以穿過去
手看起來更修長了！
洋裝是做前短後長的設計
整體視覺讓腿更修長😉
全套GRL

太好看了
https://sticker-assets.dcard.tw/images/ff0f0efb-ff2c-493d-af1a-d39e3f98b1be/orig.png
https://www.dcard.tw/v2/vivid/videos/cc89e279-c672-45d9-a694-7dd92e17d6a8?megapx=true&r=0.5625
🏷️Look6
甜美可愛風
大蝴蝶結造型襯衫+高腰黑短裙
這件襯衫真的非常好搭而且很有氣質⋯當時在日本被搶爆
很慶幸我有買，還有藍色的也非常好看！
襪子超級可愛讓我特寫一下
全套：GRL
襪子在台中勤美地下B2的一家韓系飾品店買的很可愛大家可以去看看（松本清旁邊）


藍色長這樣⬇️有點莫蘭迪藍

🏷️Look7
寬牛仔褲+小背心+日系蕾絲襯衫
不知道大家有沒有發現這件罩衫蠻常出現的
這件一穿就很仙整個穿搭質量拉好拉滿👌讓穿搭不要這麼單調
裡面的背心搭那種日系蕾絲背心也適合
褲子/罩衫：GRL
小背心：airspace 


終於分享完了！！感謝看到這邊的各位
喜歡我的穿搭可以到ig 看更多的我
大多都會在限時發自己出去玩的穿搭😉
✨
也會分享一些美妝或好物
不嫌棄就來踏踏吧
https://www.instagram.com/ayanezumin?igsh=MWdnbmM0cWtiZ3k4cg%3D%3D&utm_source=qr",dressup,13,ayanezu,F,想睡覺的鼠
6,Dcard,https://www.dcard.tw/f/dressup/p/255102026,2024-03-28 05:04:42,請益空杯原因（幫女友問）,"女朋友最近換了fashion for yes的內衣，真的蠻適合也蠻服貼身形的（在一般情況下）。女朋友是比較嬌小的身材（157公分），原本擔心 one size 會不貼合，結果一般的生活好像還好。

但有時候女朋友穿比較領口寬鬆的衣服，在做一些特定的動作時還是會有微微空杯的情況出現，像是在撒嬌兩隻手往胸前抱、雙生彎下腰綁鞋帶、這種把兩隻手往胸前夾緊的動作，就會看到有點空杯，內衣浮起來看到內衣比較裡面的時候（有時候會很擔心女朋友在做這些動作時會走光）

想請問大家這種狀況是內衣沒有這麼適合還是這是很正常的（不可能有100%不空杯的內衣？）？很需要大家的回覆！拜託了
https://sticker-assets.dcard.tw/images/73c6b900-8ac7-4e66-a69d-597041e6841c/orig.png",dressup,1,urusperformance,M,香蕉
7,Dcard,https://www.dcard.tw/f/dressup/p/255125960,2024-03-30 13:59:07,#分享 一年四季的衣服都可以在Queenshop解決🌸 #穿出我的日系風格,"https://megapx.dcard.tw/v1/images/20321edf-8fc1-4bc3-a3c0-7dc7bd070737/encode/1280
https://megapx.dcard.tw/v1/images/e189254b-fe40-41e1-8157-4eb62136a9ea/encode/1280
https://megapx.dcard.tw/v1/images/e02f8107-b31b-4fc8-8ad5-7fb5da1b8de4/encode/1280
https://megapx.dcard.tw/v1/images/6af30f0f-f124-4703-b6bf-d5fde6ae1c7b/encode/1280
https://megapx.dcard.tw/v1/images/ab61e6b5-393d-43c3-a88b-a22b0c8d1470/encode/1280
https://megapx.dcard.tw/v1/images/2ed6e4ea-7e42-4ab7-ad54-c0dee554dc73/encode/1280

哈囉 大家好
我是太陽的女子🌻

看到Queen shop舉辦的活動
發現原來我也買了不少他們家的衣服啊
但夏天買的比較少（看來是時候來增添衣服了😏
所以只好放舊照
🤎最喜歡吊帶裙
最百搭也是CP值最高的單品
可以疊加
一年四季都能穿
買連身的單品都會擔心會太透的問題
但Queen shop連身裙都有內裡
不用擔心太透 
買白色淺色都很安心
我就很放心買一些白色的裙子
看起來仙仙的🩷
Queen shop是我的愛店還有一個原因
就是長度對高個子滿友好的
裙子長度剛剛好
不會太短
是真的長裙
長度不會在一些奇怪的位置👍
還有 Queen shop很會找網紅或是藝人聯名
聯名款都超好看
一直🔥到我
實體跟網購都很方便
常常有優惠85折或是換季5折
以日系的服飾品牌來說
對小資女孩很友好🩷",dressup,2,angela.050123,F,太陽的女子🌻
8,Dcard,https://www.dcard.tw/f/dressup/p/255116668,2024-03-29 13:00:02,#日常穿搭 抓住冬天尾巴！4套連身長長的穿搭💖,"我身高154  如果你跟我一樣喜歡長裙或是連身的穿搭
歡迎往下看！

不囉唆 首先是近期很喜歡的裙子🥰
細看是花朵形狀上有毛毛的提花
版型非常有氣質 
裙擺的設計非常美～
腰圍我約24腰 穿起來剛剛好 超級滿意
我很喜歡用不同的棕色來做搭配
選一個單品做比較跳的色系
例如帽子就選擇藍色
讓視覺上更豐富

帽子：joja / 領片：at the venue
上衣＋裙子：irui_tw / 鞋子：grace gift

穿了一雙復古的Ｔ字瑪莉珍🤎
楦頭有點方頭 看起來就比較有個性一點
跟約4cm 整體穿起來我覺得很OK 
基本咖色也很適合日常穿又很百搭
Ｔ字可以讓比例看起來修長
也非常適合搭配襪子！我搭了透膚有點粉紫色跟領片呼應
不放過小細節呢哈哈哈哈✌️


接著是前陣子在uniqlo買的酪梨綠無袖洋裝
很薄的春裝 但買的時候台北還很濕冷
無袖長洋是適合疊穿👌
裡面我就穿高領 剛好可以配色
想說大面積綠色有點無趣
再加個洞洞外搭好了☺️
因為裡面都很薄 所以還是要穿鋪棉外套
這樣就多層次了哈哈哈哈

也選了跟衣服色系有搭到的髮帶
身上都大面積單色 配件就可以戴比較豐富的
讓整體多個亮點✨

髮帶：日本購入沒牌子/ 洞洞外搭：meier.q 
內搭＋洋裝：uniqlo / 外套：rope picnic
包包：beara beara / 短靴：grace gift


再來是粉嫩色系穿搭！
這天突然30度要熱死我了😓
就拿出透膚出來穿～
其實我不是很會穿透膚哈哈哈還在摸索搭配中
對我來說最無腦穿搭就是透膚＋外搭背心
主要是以新買的muji 鮭魚粉長褲來做搭配的！
這個粉色實在是深得我心～有夠喜歡💖

帽子我戴了比較低調的奶茶色
有史努比刺繡多一個童趣
耳環跟項鍊都選藍色黃色系 
跟衣服可以作結合
視覺上看起來雖然都花花的
但也都只是個小點綴而已🌼

鞋子襪子部分當然不放過
跟第一套又是同一雙襪子哈哈哈哈
這雙銀色瑪莉珍也是近期新歡
銀色單品今年還在持續中🔥
我也購入好幾樣銀色單品 比想像中好搭配
有空下次再寫一篇分享！

帽子: 環球影城 / 耳環: 日本LUNA / 項鍊: 中山古著店(店名忘了)
 透膚+洞洞: meier.q / 褲子: 無印良品 / 鞋子: 日本svec / 包包: GU



最後是～又是大地色系哈哈哈哈哈
也是新衣服跟舊衣服的穿搭
格子襯衫是前陣子uniqlo:C新品 
我個人非常喜歡格紋
這件襯衫的袖子超寬鬆超膨真好看！
柔柔的奶茶色我很喜歡🧡
褲子也是卡其跟襯衫很一致

以前穿這件背心外搭都覺得要搭素面的或是白色襯衫
最近也在探索利用不同花紋如何蹦出新滋味🌟
這套我就用小格子＋大格子 
其實只要色系對了也可以很和諧跟精彩

襯衫：uniqlo / 外搭： merlot / 鞋子：grace gift

以上是近期的穿搭 希望大家喜歡 ❤️
也希望在穿搭上能提供大家一點靈感！",dressup,9,o_oaaannn,F,妙栗✿
9,Dcard,https://www.dcard.tw/f/dressup/p/255102332,2024-03-28 05:38:38,#日常穿搭 女生的衣服永遠少一件的！#穿出我的日系風格,"


Look1 先用Queenshop打頭陣
是去年燈會時候特別打扮成一隻兔子去看兔子🐰
洋裝沒有內襯會透 
裡面需要可以搭個褲子做層次順便防走光


內搭：pimgo
洋裝：Queenshop
包包：SAMO ONDOH




Look2 
這頂帽子大概是我最愛最好搭後面會一直出現的單品
但已經斷貨想要包色都買不了了😭
皮背心超好搭！穿上後層次感就出現了
裙子是意外特價購入的竟然只要390嚇暈立馬掏出錢包

帽子： o.poism
內搭：pimgo
背心：日牌 2046代購
裙子：lowrys farm
鞋子：Dr.Martens



Look3
內搭：Queenshop
洋裝 : Queenshop
鞋子：nike




Look4
在日本失心瘋狂買衣服🥹🥹🥹
超喜歡這套 直接包了兩色上衣跟三色洋裝
鞋子應該要搭更日系一點
但因爲扁平足又要在日本走路實在是沒有什麼選擇🥲

上衣：kastane
洋裝：w.closet



Look5
看迪士尼展把自己打扮成三眼怪
（但好像錯棚應該是皮克斯）

上衣：kastane
褲子：日牌 2046代購




Look6

最愛的帽子出現again :o.poism
上衣 : 2046日本代購
裙子：ciaopanic 



Look7

帽子已經不再介紹了😂
買了一個新的黃色墨鏡一直被嫌棄

內搭：2046代購
上衣裙子：KBF



Look8
前陣子新光日牌大特價撿到寶🥹
KBF襯衫打折後竟然只要一千塊 買！
終於換帽子了 
褲子做拼接式的超好看！

帽子：Beams
上衣：KBF
褲子 : pekopej.jp代購



介紹完畢 
衣櫃爆了 錢包也乾了 謝謝大家觀看

#穿出我的日系風格 #QueenShop日系穿搭",dressup,7,drawitrain,F,Rain
10,Dcard,https://www.dcard.tw/f/dressup/p/255102357,2024-03-28 05:41:02,#分享 162女生近期彩色穿搭趴兔,"https://megapx.dcard.tw/v1/images/1f842c6f-1ced-4168-8e33-f9ccb1f88255/encode/1280
https://megapx.dcard.tw/v1/images/3616b650-5567-43d6-8c06-202c6997074f/encode/1280
https://megapx.dcard.tw/v1/images/efff1278-eb30-493b-8ade-aad984e6ae10/encode/1280
https://megapx.dcard.tw/v1/images/f74e3606-9ccd-4be0-b983-51fcd0b313a0/encode/1280
https://megapx.dcard.tw/v1/images/def062fe-b14e-4969-b02c-89ed1bc45e7a/encode/1280
https://megapx.dcard.tw/v1/images/53c0d874-b479-4b76-b8a6-3bebe1955d4f/encode/1280
https://megapx.dcard.tw/v1/images/afb03747-1aed-414d-8d34-b1b6a9f733c4/encode/1280
https://megapx.dcard.tw/v1/images/ebc48912-9b91-492e-804f-7fc30a88adf4/encode/1280
https://megapx.dcard.tw/v1/images/c9da43ce-acaa-4720-acc2-216cef33651e/encode/1280
https://megapx.dcard.tw/v1/images/abf6b97f-46f3-4beb-990d-7f32313fb601/encode/1280

嗨嗨大家好我是岑！
不知不覺來到彩色穿搭第二集啦～🤣
這次搜集了五套來分享給大家

我的身高體重 162/46
/
Look1
外套：ohsowa 
吊帶裙：archivebold
內搭、項鍊、鞋子：淘寶
包包：chanel

這套是過年那時候的穿！
發想是用蕾絲、金釦外套、長襪來營造復古俏皮感👾
裡面搭了一件韓國小眾潮牌吊帶裙
看似年代衝突的單品 完成後卻蠻喜歡的（？
也撞色了藍綠、灰讓整體視覺更有層次

最後絲絨珍珠項鍊更是點睛之筆～
-
Look2
上衣、裙子：sunshine
包包：newana
鞋子：D+AF

第二套走氣質路線！
整套用🦋做主軸 漂亮的蝴蝶套裝加上頸鏈
很立體…感覺很像蝴蝶飼養員哈哈？
配上打褶的粉色魚尾長裙
粉粉嫩嫩是不是又有春天的感覺啦！

（我發的上一篇是春天穿搭歡迎觀看🤣）
-
Look3
套裝：A'RESSA
內搭：2yu 
包包：robinmay

這一套是我最喜歡的薄荷綠！
雖然有很多西裝外套 但第一次入手套裝
買了正韓的質感很好…裙子的開衩很美🤍
配上同色的髮夾、鞋子以及蝴蝶結背心
清爽的一套就完成啦～
-
Look4
外套、上衣：（哀居有合作恕不在此提及🙇🏻）
褲子：heyboo
包包：nyunyu
鞋子：crocs

第四套也是我自己私心很喜歡的一套！
外套的刺繡和扣子都很繽紛、配上亮色上衣
特別選了棕色皮帶來讓整身更平衡

最後一定要提我自豪的鞋扣…
是不是非常搭！（粉色還有呼應到上衣）
小小毛球們為這套穿搭注入了滿滿活力～
是自己非～～常～滿意的一套😝
-
Look5
上衣：WHO.A.U
項鍊：Orii 午後の餅乾
帽子、褲子：淘寶
包包：bwrite
鞋子：D+AF

壓軸的一套是走學院風（有嗎？
利用同色皮質貝雷帽和皮帶 配海軍藍上衣
也第一次嘗試了單車褲🚴希望有合適哈哈！

上衣的小銀標很可愛、和項鍊走細節組的🤣
愛心字母項鍊則挑了tsen字首的T～
最後穿上泡泡襪和皮鞋👞（厚底加小金釦超級可愛）
鬼靈精怪的完成啦！！
/
今天的五套彩色穿搭第二集就分享到這邊～
不知道大家還喜歡嗎！謝謝你們的觀賞🤍

有任何問題都歡迎在底下留言給我/喜歡我的文章也歡迎幫我點愛心給我更多鼓勵

我是岑 我們下次見啦～
https://www.instagram.com/tsen_162?igsh=MWI5em40NnU0dWFldg%3D%3D&utm_source=qr",dressup,51,tsen_162,F,岑
